"participantID","vignette_id","condition","topic","PartnerTrust","PartnerReal","ConversationMyself","ConversationSharing","AttentionCheck","Belief_AI_Human"
"nf8kt96fw0","romantic1","AI","Romantic",4,4,5,5,NA,12
"nf8kt96fw0","romantic2","Human","Romantic",3,2,1,1,NA,-62
"nf8kt96fw0","trivial1","Human","Trivial",2,2,2,1,"Mental Health",-97
"nf8kt96fw0","trivial2","AI","Trivial",2,2,3,1,"Romantic",-94
"ngjw6ns3g1","mental1","Human","Mental",3,3,4,3,NA,30
"ngjw6ns3g1","mental2","AI","Mental",2,2,3,3,"Romantic",-94
"ngjw6ns3g1","romantic1","Human","Romantic",3,2,3,3,"Mental Health",43
"ngjw6ns3g1","romantic2","AI","Romantic",4,3,4,3,NA,-74
"ngjw6ns3g1","trivial1","Human","Trivial",2,2,1,1,NA,-70
"ngjw6ns3g1","trivial2","AI","Trivial",3,5,4,3,NA,-100
"ntbfq2ze6k","mental1","AI","Mental",1,2,1,1,NA,-100
"ntbfq2ze6k","mental2","Human","Mental",3,2,1,3,"Mental Health",-100
"ntbfq2ze6k","romantic1","Human","Romantic",2,2,6,3,NA,100
"ntbfq2ze6k","romantic2","AI","Romantic",1,2,1,1,"Mental Health",-100
"ntbfq2ze6k","trivial1","Human","Trivial",5,4,6,5,NA,100
"ntbfq2ze6k","trivial2","AI","Trivial",1,4,3,1,NA,-100
"o71hc6nrbu","mental1","AI","Mental",1,2,1,1,NA,31
"o71hc6nrbu","mental2","Human","Mental",3,1,3,1,NA,22
"o71hc6nrbu","romantic1","Human","Romantic",1,2,1,1,NA,62
"o71hc6nrbu","romantic2","AI","Romantic",6,6,5,6,"Mental Health",-95
"o71hc6nrbu","trivial1","AI","Trivial",3,5,2,3,NA,-65
"o71hc6nrbu","trivial2","Human","Trivial",3,3,1,2,"Everyday / Trivial",-10
"o8663x6rxa","mental1","Human","Mental",5,6,2,5,NA,-90
"o8663x6rxa","mental2","AI","Mental",4,6,5,5,NA,-30
"o8663x6rxa","romantic1","Human","Romantic",4,4,2,3,"Romantic",40
"o8663x6rxa","romantic2","AI","Romantic",2,3,3,2,"Mental Health",-70
"o8663x6rxa","trivial1","Human","Trivial",6,6,6,6,NA,-50
"o8663x6rxa","trivial2","AI","Trivial",2,2,2,1,NA,-76
"ob5jby06xp","mental1","AI","Mental",5,5,6,5,"Mental Health",-90
"ob5jby06xp","mental2","Human","Mental",6,6,6,6,NA,-92
"ob5jby06xp","romantic1","AI","Romantic",2,2,1,1,NA,86
"ob5jby06xp","romantic2","Human","Romantic",6,5,5,5,NA,85
"ob5jby06xp","trivial1","Human","Trivial",5,4,5,5,"Romantic",-95
"ob5jby06xp","trivial2","AI","Trivial",5,3,5,4,NA,92
"ooykdnnjkh","mental1","AI","Mental",2,1,2,2,"Mental Health",-100
"ooykdnnjkh","mental2","Human","Mental",4,1,1,3,NA,-74
"ooykdnnjkh","romantic1","Human","Romantic",1,3,1,1,NA,-37
"ooykdnnjkh","romantic2","AI","Romantic",4,1,1,2,NA,-100
"ooykdnnjkh","trivial1","Human","Trivial",2,1,1,3,"Mental Health",-74
"ooykdnnjkh","trivial2","AI","Trivial",1,1,1,1,NA,-100
"ov6nz4db9x","mental1","AI","Mental",3,3,4,1,NA,-100
"ov6nz4db9x","mental2","Human","Mental",2,3,3,1,"Mental Health",56
"ov6nz4db9x","romantic1","AI","Romantic",4,2,2,1,"Mental Health",75
"ov6nz4db9x","romantic2","Human","Romantic",3,1,3,1,NA,30
"ov6nz4db9x","trivial1","Human","Trivial",5,3,5,1,NA,-35
"ov6nz4db9x","trivial2","AI","Trivial",2,5,4,3,NA,-90
"p63km4o9uu","mental1","Human","Mental",2,3,1,2,"Romantic",32
"p63km4o9uu","mental2","AI","Mental",5,2,4,2,NA,51
"p63km4o9uu","romantic1","AI","Romantic",2,1,4,1,NA,21
"p63km4o9uu","romantic2","Human","Romantic",2,1,1,1,NA,-73
"p63km4o9uu","trivial1","Human","Trivial",1,1,1,1,"Mental Health",-90
"p63km4o9uu","trivial2","AI","Trivial",3,1,1,1,NA,-100
"pay13btfgn","mental1","Human","Mental",2,1,2,1,NA,68
"pay13btfgn","mental2","AI","Mental",1,1,1,1,"Romantic",25
"pay13btfgn","romantic1","Human","Romantic",2,1,1,1,"Romantic",33
"pay13btfgn","romantic2","AI","Romantic",2,1,1,1,NA,-41
"pay13btfgn","trivial1","Human","Trivial",4,2,3,1,NA,-50
"pay13btfgn","trivial2","AI","Trivial",1,1,2,1,NA,-60
"pk8s4oebos","mental1","AI","Mental",4,4,4,2,NA,42
"pk8s4oebos","mental2","Human","Mental",1,1,2,2,"Romantic",-24
"pk8s4oebos","romantic1","AI","Romantic",5,6,3,4,NA,18
"pk8s4oebos","romantic2","Human","Romantic",1,7,4,1,"Everyday / Trivial",30
"pk8s4oebos","trivial1","Human","Trivial",2,4,3,1,NA,-56
"pk8s4oebos","trivial2","AI","Trivial",2,4,3,2,NA,16
"ptd1kk9m3y","mental1","AI","Mental",3,2,5,3,NA,-100
"ptd1kk9m3y","mental2","Human","Mental",3,3,3,3,"Romantic",42
"ptd1kk9m3y","romantic1","Human","Romantic",4,2,4,3,NA,22
"ptd1kk9m3y","romantic2","AI","Romantic",5,4,6,5,"Mental Health",-100
"ptd1kk9m3y","trivial1","Human","Trivial",4,2,3,2,NA,-100
"ptd1kk9m3y","trivial2","AI","Trivial",5,3,3,3,NA,-100
"qevmjsb5m1","mental1","AI","Mental",5,1,1,1,NA,15
"qevmjsb5m1","mental2","Human","Mental",1,2,1,1,NA,-100
"qevmjsb5m1","romantic1","Human","Romantic",4,1,3,1,"Everyday / Trivial",20
"qevmjsb5m1","romantic2","AI","Romantic",1,1,1,1,"Mental Health",-47
"qevmjsb5m1","trivial1","Human","Trivial",1,1,1,1,NA,-100
"qevmjsb5m1","trivial2","AI","Trivial",7,7,7,7,NA,90
"rq2b71ktj5","mental1","AI","Mental",4,4,4,4,NA,100
"rq2b71ktj5","mental2","Human","Mental",5,5,5,5,"Mental Health",-100
"rq2b71ktj5","romantic1","Human","Romantic",5,5,5,5,NA,-100
"rq2b71ktj5","romantic2","AI","Romantic",5,5,6,4,NA,100
"rq2b71ktj5","trivial1","AI","Trivial",4,4,5,4,"I don't remember",-100
"rq2b71ktj5","trivial2","Human","Trivial",4,4,5,4,NA,100
"s4djv5eu09","mental1","AI","Mental",7,7,7,6,"Romantic",-95
"s4djv5eu09","mental2","Human","Mental",5,1,2,1,NA,-100
"s4djv5eu09","romantic1","AI","Romantic",1,1,1,1,NA,100
